sentence,correct_phonemes,incorrect_phonemes,incorrect_phonemes_list,per,has_loanword,duration_seconds,total_expected_phonemes,total_recognized_phonemes
mehrere Übereinstimmungen wurden gefunden.,22,14,"e→eː, ɾ→r, ɐ→ə, +r, yː→uː, -e, -ɾ, a→ɜ, e→aɪ, s→ʃ, -m, ʊ→uː, +ə, n̩→n",0.4117647058823529,False,3.08984375,34,33
Das heutige vereinte System von Postleitzahlen wurde anno neunzehnhundertdreiundneunzig eingeführt.,60,21,"-ɔ, ø→aʊ, -ɛː, ɐ→ɛ, a→ɾ, e→aɪ, -a, -e, t→aɪ, s→ts, ɑ→ɑː, ʊ→uː, ɔ→oɪ, ɐ→ɜ, ʁ→r, aj→aɪ, -ɔ, ç→k, -a, e→aɪ, j→yː",0.25925925925925924,False,7.8515625,81,75
Bei uns schmeckt das Leitungswasser anders.,26,3,"ə→ɜ, -ɛ, ɾ→ɜ",0.10344827586206896,False,2.779296875,29,28
Als Großhändler braucht man einen zuverlässigen Partner in Sachen Logistik.,50,12,"-ʁ, a→ɾ, o→aʊ, -a, e→aɪ, -t, s→ts, ɛː→ɛ, ɐ→ɾ, -z, ɐ→ɜ, i→ɪ",0.1935483870967742,False,5.1484375,62,58
"Er wird mit einer großen Wirtschaftsdelegation kommen, und in der Tat wird sich die amerikanische Leistungsstärke dort präsentieren.",80,25,"eː→ɛ, ɐ→ɾ, ʁ→ɾ, -a, e→aɪ, ɛː→ɜ, ɐ→ɾ, -z, ç→ʃ, +ts, e→eː, e→ɪ, ɑ→a, t→ts, s→j, eː→ɛ, ɐ→ɾ, ʁ→ɾ, ɑː→a, e→ɛ, i→ɪ, ɑ→ɑː, ʁ→ɾ, ɾ→r, e→ə",0.2403846153846154,False,8.0078125,104,103
Jetzt kann sie wenigstens niemanden mehr beißen.,31,5,"-t, s→ts, ɡ→k, ɛ→ə, ɐ→ɾ",0.1388888888888889,False,2.83984375,36,35
Man unterscheidet zwischen körperlicher und psychischer Abhängigkeit.,36,15,"-ɛ, -ɾ, z→ɜ, ç→ʃ, -a, e→aɪ, -t, s→ts, ɐ→ɾ, ɐ→ɜ, s→z, +y, ç→ʃ, ɐ→ɜ, -ç",0.3,False,4.1484375,50,46
Die sind hier schon krass in der Unterzahl.,20,9,"-d, ɐ→ɾ, ʁ→ɾ, +s, eː→ɛ, ɐ→ɾ, tʰ→t, ɐ→ɜ, aː→ɑː",0.32142857142857145,False,2.6796875,28,28
"Da kann ich nicht, weil wir da ein Treffen der Wohngemeinschaft abhalten.",33,21,"+d, ː→ɑː, ɐ→ɾ, ː→d, ɛ→ɑː, ɪ→aɪ, ɾ→r, -f, eː→ɛ, ɐ→ɾ, o→oː, ŋ→n, -e, m→ɡ, a→ə, -e, n→m, -s, t→aɪ, s→n, h→ʃ",0.39622641509433965,False,4.58984375,53,50
Toten Bäumen fehlt einfach die Suchfunktion.,29,5,"-ɔ, ø→aʊ, e→eː, -t, s→ts",0.14705882352941177,False,3.630859375,34,32
"Hiermit unterstützen wir, aber natürlich müssen die Hauptinitiativen von den Herstellern, auch von den Produzenten von realen Gütern ausgehen.",82,30,"ɐ→ɾ, ɐ→ɜ, t→y, s→ts, ɐ→ɾ, ɑː→a, -e, ɾ→ɜ, +y, yː→uː, ʁ→ɾ, +y, iː→ɪ, t→ts, iː→j, eː→ɛ, ɐ→ɾ, -l, ɛ→ə, -ɾ, o→oː, u→ʊ, -t, s→ts, ɾ→r, ə→eː, a→ɑː, yː→uː, -ɛ, ɾ→ɜ",0.2727272727272727,False,9.3984375,110,107
Warum kommen Sie denn auch ausgerechnet in der Mittagspause?,34,9,"a→ɑː, ʀ→r, uː→ʊ, -a, o→aʊ, ɾ→r, eː→ɛ, ɐ→ɾ, aː→a",0.20930232558139536,False,3.73046875,43,42
Ich bin aber nicht gut im Kartenmischen.,24,5,"-e, ɾ→ɜ, kʰ→k, ʁ→ɾ, tʰ→t",0.1724137931034483,False,2.310546875,29,28
Jetzt tun wieder alle so betroffen.,23,5,"-t, ɐ→ɛ, +ɾ, +s, -f",0.19230769230769232,False,2.16015625,26,26
führe aus,4,2,"yː→uː, ʀ→r",0.3333333333333333,False,1.0595703125,6,6
"Wie können wir dafür Sorge tragen, dass jeder junge Mensch auch wirklich eine Ausbildungschance hat – auch die, die heute seit mehreren Jahren danach suchen?",79,32,"œ→ə, ɐ→ɾ, a→ɑː, ʁ→ɾ, ʁ→ɾ, ʁ→r, aː→ɑː, ɐ→ɜ, ʁ→ɾ, -(, -e, -n, -), ɔː→aʊ, ʌ→ʊ, ʃ→s, -a, -n, s→ʃ, (→ɑ̃, d→s, -e, -), ɔ→aʊ, e→eː, ɾ→r, ɐ→ə, +r, ɑ→ɑː, ɾ→r, aː→ɑː, χ→x",0.2909090909090909,False,9.609375,110,103
"Traue keinem Computer, den du nicht eigenhändig aus dem Fenster werfen kannst!",48,12,"-a, o→aʊ, ɐ→ɜ, +d, ː→uː, -a, e→aɪ, ɛ→ə, +h, ç→k, ɐ→ɜ, ʁ→ɾ",0.20689655172413793,True,5.16015625,58,58
Ein Feuerwehrmann findet keinen Hydranten.,22,12,"-ɛ, ɪ→aɪ, +j, ɐ→ɜ, ɐ→ɛ, +ɾ, +y, d→t, ʁ→r, +t, tʰ→ə, n̩→n",0.4,False,2.849609375,30,33
"Und dass wir auch sicherstellen, dass zukünftige Standards, die wir in der Europäischen Union entwickeln, dann auch mit einem solchen Freihandelsabkommen kompatibel sind.",93,36,"ɐ→ɾ, ɐ→ɜ, +ə, n̩→n, -t, s→ts, +y, -t, s→ts, +ɾ, ɐ→ɾ, eː→ɛ, ɐ→ɾ, ɔ→aɪ, ʁ→r, ɔ→oː, pʰ→p, eː→ɛ, +ə, n̩→n, u→uː, i→j, +ə, +l, l̩→ə, -a, e→aɪ, x→ç, ʁ→ɾ, aj→aɪ, -ə, kʰ→k, ɑ→a, i→iː, e→ɪ, -t",0.2926829268292683,False,10.890625,123,124
"Als wir es ihr erzählten, musste sie lauthals loslachen.",33,8,"ɐ→ɾ, eː→ɛ, -ɐ, ɛː→ɾ, ɐ→ɛ, t→ɾ, s→ts, ɛ→eː",0.1951219512195122,False,4.48046875,41,40
"Meine Oma hat zwar einen Hühnerstall, aber kein Motorrad.",26,17,"a→ɑː, -t, s→ts, -aː, ɐ→ɑː, a→ɾ, e→aɪ, yː→y, ɐ→ɜ, ɑː→a, -e, ɾ→ɜ, oː→ʊ, ɔ→oː, -ɾ, ɾ→r, ɑ→a",0.3953488372093023,False,4.1796875,43,39
Hallo und willkommen im Forum!,20,2,"ɾ→r, u→ʊ",0.09090909090909091,False,2.0703125,22,22
"Ich weiß, dass es eigentlich Schraubendreher heißen muss.",28,10,"eː→ɛ, -ə, ɪ→aɪ, ɛ→ə, a→r, o→aʊ, ɛ→ə, ɾ→r, e→eː, ɐ→ə",0.2631578947368421,False,3.830078125,38,37
"Ihre Anfrage hatte mehrere Übereinstimmungen, bitte seien Sie genauer.",34,18,"ʁ→r, +t, ɾ→r, e→eː, ɾ→r, ɐ→ə, ə→r, yː→ə, b→y, -e, ɾ→b, a→ɜ, e→aɪ, s→ʃ, -m, -a, o→aʊ, ɐ→ɜ",0.35294117647058826,False,5.37109375,51,49
Wie teuer darf eine Abmahnung sein?,19,3,"ɔ→oː, ɐ→ɜ, ɑ→ɑː",0.13636363636363635,False,2.490234375,22,22
Wie heißt die Hauptstadt von Tonga?,22,3,"+h, tʰ→t, ŋ→n",0.125,False,2.58984375,24,25
"Ich verurteile niemanden dafür, dass er meine Meinung nicht teilt.",36,15,"ɛː→ɛ, ɐ→ɾ, ʊ→uː, -ə, iː→aɪ, +d, yː→uː, ʁ→ɾ, eː→ɛ, ɐ→ɾ, -ə, ɪ→aɪ, +k, -a, e→aɪ",0.30612244897959184,False,4.6484375,49,48
"Wer denkt, ich hätte mir das alles nur ausgedacht, liegt richtig.",38,8,"ɐ→ɾ, æ→ɾ, -ɐ, a→ɾ, o→aʊ, ç→x, ʀ→r, ç→k",0.17391304347826086,False,4.01171875,46,45
Turing schuf einen großen Teil der theoretischen Grundlagen für die moderne Informations- und Computertechnologie.,70,20,"ɾ→r, -a, e→aɪ, eː→ɛ, ɐ→ɾ, tʰ→t, ɛ→eː, ɔ→oː, ʁ→r, tʰ→t, ɾ→r, d→t, ɑ→ɑː, yː→y, ɐ→ɾ, oː→o, -t, s→ts, oː→ɔ, oː→o",0.2222222222222222,True,7.4609375,90,88
"Stacheln aus Metall sollen verhindern, dass Tauben auf der Anzeige landen.",44,13,"ɛ→ə, -l, -l, ɐ→ɾ, ɐ→ə, a→ɾ, o→aʊ, eː→ɛ, ɐ→ɾ, -t, s→ts, -ə, ɪ→aɪ",0.22807017543859648,False,4.8203125,57,53
"Die Autobahn musst du da verlassen, wo der Name deiner Zielstadt dran steht.",36,17,"-a, o→aʊ, o→oː, ɑ→ɑː, +uː, ː→d, ː→ɑː, ɐ→ɾ, ɔ→oː, -u, eː→ɛ, ɐ→ɾ, aː→ɑː, ɐ→ə, ɾ→r, ɑː→a, e→eː",0.3269230769230769,False,5.23828125,52,51
Das Team aus Houston bleibt weiterhin Träger der roten Laterne.,30,17,"n̩→ə, b→n, l→b, a→l, e→aɪ, -a, e→aɪ, ɛ→ɜ, ɾ→h, ɛː→ɛ, ɐ→ɜ, eː→ɛ, ɐ→ɾ, ʀ→r, +ə, n̩→n, ɑː→a",0.3695652173913043,True,4.87109375,46,46
Schildkröten werden bis zu zweihundert Jahre alt.,24,15,"ʀ→r, øː→ø, +ə, n̩→n, eː→ɛ, ɐ→ɾ, +ə, n̩→n, -t, s→ts, -t, s→ts, ɐ→ɜ, aː→ɑː, ʀ→r",0.40540540540540543,False,4.01171875,37,37
Halt mal kurz mein Bier.,15,3,"aː→a, ʁ→ɾ, t→ts",0.16666666666666666,False,1.6796875,18,18
"Je weniger davon wissen, desto sicherer ist es.",22,10,"ː→j, v→eː, ə→v, ɐ→ɜ, +ə, n̩→n, o→oː, ɐ→r, ɐ→ɜ, eː→ɛ",0.3225806451612903,False,3.099609375,31,32
"Ich glaube, das war ein riesen Erfolg, der gezeigt hat, dass diese junge Mannschaft relativ unbeschwert, aber doch entschlossen gespielt hat und ihre Chance genutzt hat.",91,37,"-a, o→aʊ, -aː, ɐ→ɑː, ɛ→ɾ, ɪ→aɪ, ʁ→r, +ə, n̩→n, a→ɾ, eː→ɛ, ɐ→ɾ, -t, s→ts, -a, e→aɪ, i→iː, -ə, s→z, -n, -s, -t, -s, h→ʃ, ɾ→r, ɑ→a, ɛ→eː, ɑː→a, -e, ɾ→ɜ, -z, ʁ→r, ː→ɔ, +ə, -t, s→ts, -t",0.29365079365079366,True,10.5,126,115
Er habe doch nur im Prozess berichtet wie gehört.,27,12,"eː→ɛ, +ɾ, ɐ→ɾ, aː→ɑː, ɐ→ɾ, oː→ɔ, -t, s→ts, -s, ɾ→r, øː→ø, ɐ→ɾ",0.3157894736842105,False,3.2890625,38,37
Der Kälte wegen hat sich Isaak extra Leggings unter der Hose angezogen.,44,15,"eː→ɛ, ɐ→ɾ, ɪ→iː, +a, aː→a, -., ʁ→ɾ, ɟ→ɡ, ŋ→n, ɐ→ɜ, eː→ɛ, ɐ→ɾ, +h, -t, s→ts",0.2631578947368421,False,5.19921875,57,57
Ich habe für fünfzehn uhr dreißig morgen eine Erinnerung gesetzt,34,14,"aː→ɑː, ɐ→ɾ, n→y, f→n, t→f, s→ts, ɐ→ɾ, ɾ→r, ç→k, ʁ→ɾ, ɐ→ɾ, ʁ→r, -t, s→ts",0.2916666666666667,False,4.37109375,48,47
snowboy,3,4,"ɔ→oː, -v, -ɔ, ø→oʊ",0.5714285714285714,False,0.85986328125,7,5
Was geschieht eigentlich mit den abgeschnittenen Haaren?,34,7,"-ə, ɪ→aɪ, ɛ→ə, -d, -ɑ, a→ɑː, ɽ→r",0.17073170731707318,False,3.349609375,41,38
"Bau, Vertrieb und Besitz von Machtübernahmemaschinen sind strengstens untersagt.",49,13,"-b, ɛː→ɛ, ɐ→ɾ, -t, s→ts, tʰ→t, yː→uː, ɐ→ɜ, aː→ɑː, ɛ→ə, -ɛ, ɾ→ɜ, a→ɑː",0.20967741935483872,False,6.51953125,62,59
"Die Kiwi ist sowohl eine Frucht, als auch ein Vogel.",26,9,"cʰ→k, ɪ→iː, ɪ→iː, o→oː, ʁ→ɾ, ʊ→u, -ɛ, ɪ→aɪ, -l",0.2571428571428571,False,4.421875,35,33
Von Leuten in der U-Bahn geht diesbezüglich also kein Infektionsrisiko aus.,40,19,"-ɔ, ø→aʊ, eː→ɛ, ɐ→ɾ, ɑ→ɑː, e→eː, e→ə, -t, s→ts, j→uː, -t, s→ts, ɔ→oː, ʁ→r, ɪ→iː, ɪ→iː, kʰ→k, ɔ→oː, -s",0.3220338983050847,False,5.171875,59,55
"Und ich als deutsche Bundeskanzlerin habe mich hier jetzt mit der Erfahrung von Fukushima dafür eingesetzt, so schnell wie möglich aus der Kernenergie auszusteigen.",91,33,"-ɔ, ø→aʊ, tʃ→ʃ, ʁ→r, aː→ɑː, ɐ→ɾ, -t, s→ts, eː→ɛ, ɐ→ɾ, ɛː→ɛ, ɐ→ɾ, ɑ→ɑː, ɾ→r, ʊ→uː, kʰ→k, ɪ→iː, a→ɑː, a→ɑː, -ʁ, a→ɾ, e→aɪ, -t, s→ts, øː→ø, k→ɡ, +f, eː→ɛ, ɐ→ɾ, e→ɛ, -j, -ə, aj→aɪ",0.2682926829268293,False,9.9765625,123,118
Seine Gebeine liegen auf dem Knochenacker.,28,2,"-ə, ɪ→aɪ",0.06666666666666667,False,2.94921875,30,29
beenden,5,2,"b→v, ə→eː",0.2857142857142857,False,0.91015625,7,7
"Außerdem muss er natürlich glutenfrei, eifrei und gentechnikfrei sein.",34,16,"ʊ→u, eː→ɛ, ɐ→ɾ, yː→uː, -ʁ, ʊ→uː, tʰ→t, ʁ→r, aj→aɪ, aj→aɪ, ʁ→r, aj→aɪ, ɟ→ɡ, tʰ→t, ʁ→ɾ, aj→aɪ",0.32,False,5.46875,50,49
Oft ist Typ zwei auf einen ungesunden Lebensstil zurückzuführen.,36,17,"-yː, p→y, t→p, s→ts, -a, e→aɪ, e→eː, ɛ→ə, -z, -t, s→ts, ɾ→r, k→y, t→k, s→ts, j→uː, ɾ→r",0.32075471698113206,False,4.91015625,53,49
Betrachtest du Smartphones auch als Computer?,26,10,"ɛ→ə, t→d, ː→uː, ʁ→ɾ, oː→ɔ, n→ɾ, ə→ʊ, +n, +ç, ɐ→ə",0.29411764705882354,True,3.140625,34,36
Hast du mein Ladekabel gesehen?,18,6,"+t, +d, ː→uː, aː→ɑː, kʰ→k, aː→ɑː",0.2727272727272727,False,1.8896484375,22,24
Manche Leute haben es einfach drauf.,19,7,"x→ç, ɔ→oː, aː→ɑː, eː→ɛ, ɾ→r, -a, o→aʊ",0.2692307692307692,False,2.76953125,26,25
Was ist das nur für ein Ding?,16,5,"ɐ→ɾ, -yː, ɐ→y, ɛ→ɾ, ɪ→aɪ",0.23809523809523808,True,1.75,21,20
In der Villa spukt ein Poltergeist.,16,11,"eː→ɛ, ɐ→ɾ, -l, ɑ→ɑː, ʊ→uː, -ɛ, ɪ→aɪ, pʰ→p, tʰ→t, ɐ→ɜ, aj→aɪ",0.4074074074074074,False,2.580078125,27,25
Politische Konflikte sollten nicht mit Gewalt gelöst werden.,40,8,"i→iː, +ə, n̩→n, øː→yː, eː→ɛ, ɐ→ɾ, +ə, n̩→n",0.17391304347826086,False,3.94921875,46,48
"Sonntag,",3,3,"z→s, ɔ→o, aː→a",0.5,False,0.56005859375,6,6
Verstärkung ist unterwegs.,17,6,"ɛː→ɛ, ɐ→ɾ, +k, -ɛ, ɾ→ɜ, ɛ→eː",0.2727272727272727,False,1.8203125,22,22
Er will schmusen.,9,3,"eː→ɛ, +ɾ, ɐ→ɾ",0.2727272727272727,False,1.2001953125,11,12
Später wird der Gewinner verkündet.,18,9,"ɛː→ɛ, ɐ→ɜ, ʁ→ɾ, eː→ɛ, ɐ→ɾ, ɐ→ɜ, ɛː→ɛ, ɐ→ɾ, +y",0.34615384615384615,False,2.08984375,26,27
Die Sätze dürfen nicht zu lang sein.,20,6,"t→ts, -s, +yː, ʁ→ɾ, -t, s→ts",0.24,False,2.369140625,25,24
Schuld daran sind die Verantwortlichen.,25,6,"ʁ→r, +t, -f, ɛː→ɛ, ɐ→ɾ, v→f",0.2,False,2.5703125,30,30
